,Restaurant,UserID,Menu,Total
196,치킨&강정-노량진점,gd**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
197,치킨&강정-노량진점,zk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
198,치킨&강정-노량진점,mu**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
199,치킨&강정-노량진점,li**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
200,치킨&강정-노량진점,ak**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),콜라 1.25L/1",5
201,치킨&강정-노량진점,57**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
202,치킨&강정-노량진점,kk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
203,치킨&강정-노량진점,ju**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
204,치킨&강정-노량진점,gu**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(사이다 500mL로 변경))",5
205,치킨&강정-노량진점,fe**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
206,치킨&강정-노량진점,ys**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
207,치킨&강정-노량진점,cj**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
208,치킨&강정-노량진점,fi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),4
